Months,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
JAN,8872,11133,10568,11205,11965,12645,12319
FEB,3981,7996,17160,26408,30130,39510,45640
MAR,18283,22832,23536,22785,15977,17880,23160
APR,25153,27728,31848,25350,28084,35791,26651
MAY,42099,41570,33415,39432,35696,35785,46690
JUN,44821,43858,61540,64845,49369,47865,46573
JUL,39742,46495,52376,53540,64425,64210,59524
AUG,56413,60167,63603,52224,54678,53197,51340
SEP,46630,49175,51995,70049,71513,53037,49807
OCT,48120,41660,57558,57721,47112,59783,61965
NOV,22481,28778,22144,22889,23984,25982,25153
DEC,11792,13901,17166,17668,16759,12402,11494